0.52098  	0.27244  	0.30963  	0.58992  	0.24000  	0.15275  	0.22696  	0.13815  	0.59108  	-0.4059  	-0.0069  	0.26534  	0.43610  	0.00688  	-1.1354  	0.47335  	-0.2569  	0.60040  	-0.1964  	0.53979  	0.14960  	-0.4297  	-0.3802  	-0.1211  	-0.4746  	-0.0389  	0.00686  	0.01477  	-0.3876  	-0.1511  	-0.2349  	0.42170  	0.08725  	0.13440  	0.26217  	0.04579  	0.15723  	-0.0133  	0.08443  	0.23954  	-0.2103  	-0.0764  	0.00927  	-0.1403  	0.02628  	-0.0004  	0.00443  	-0.0734  	-0.0383  	0.00308  	-0.0345  	0.04493  	-0.0015  	0.01766  	0.00188  	-0.0218  	0.01875  	0.02312  	-0.0119  	-0.0011  	0.04492  	-0.0099  	-0.0736  	0.01231  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.52077  	0.27244  	0.30953  	0.5898  	0.23992  	0.15248  	0.22691  	0.13798  	0.59094  	-0.4059  	-0.0067  	0.26526  	0.43586  	0.00674  	-1.1354  	0.47321  	-0.2569  	0.60042  	-0.1964  	0.53978  	0.14960  	-0.4297  	-0.3803  	-0.1211  	-0.4746  	-0.0389  	0.00680  	0.01470  	-0.3877  	-0.1512  	-0.2349  	0.42171  	0.08723  	0.13441  	0.26224  	0.04576  	0.15730  	-0.0133  	0.08439  	0.23946  	-0.2102  	-0.0765  	0.00924  	-0.1403  	0.02627  	-0.0005  	0.00443  	-0.0734  	-0.0383  	0.00311  	-0.0344  	0.04495  	-0.0015  	0.01766  	0.00185  	-0.0218  	0.01876  	0.02311  	-0.0119  	-0.0011  	0.04492  	-0.0099  	-0.0736  	0.01230  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.52272  	0.27094  	0.31427  	0.59055  	0.25476  	0.13905  	0.24003  	0.12228  	0.58264  	-0.3841  	0.00239  	0.26192  	0.43318  	-0.0055  	-1.1755  	0.47738  	-0.2678  	0.61290  	-0.1979  	0.56297  	0.13757  	-0.4333  	-0.4006  	-0.1247  	-0.4682  	-0.0372  	0.00240  	0.03750  	-0.3665  	-0.1588  	-0.2378  	0.42054  	0.09834  	0.13329  	0.25293  	0.06387  	0.14559  	-0.0226  	0.08506  	0.24423  	-0.2065  	-0.0739  	0.01231  	-0.1419  	0.02687  	0.00025  	0.00681  	-0.0714  	-0.0381  	0.00626  	-0.0336  	0.04397  	-0.0019  	0.01771  	0.00377  	-0.0232  	0.02097  	0.02131  	-0.0112  	-0.0023  	0.04514  	-0.0122  	-0.0724  	0.01027  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.49470  	0.26207  	0.31613  	0.57612  	0.25762  	0.12807  	0.24795  	0.11155  	0.57107  	-0.3693  	-0.0072  	0.24542  	0.43796  	-0.0350  	-1.2106  	0.47253  	-0.2816  	0.62792  	-0.2016  	0.58965  	0.11435  	-0.4420  	-0.4191  	-0.1326  	-0.4632  	-0.0436  	-0.0170  	0.08714  	-0.3306  	-0.1631  	-0.2418  	0.41348  	0.09792  	0.13598  	0.24764  	0.08246  	0.12687  	-0.0277  	0.09855  	0.24873  	-0.1936  	-0.0749  	0.00911  	-0.1406  	0.02542  	-0.0014  	0.00517  	-0.0752  	-0.0428  	0.00862  	-0.0284  	0.04336  	-0.0014  	0.01499  	0.00393  	-0.0242  	0.02600  	0.02007  	-0.0110  	-0.0042  	0.04498  	-0.0146  	-0.0700  	0.01103  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.49941  	0.25250  	0.33462  	0.56803  	0.25570  	0.13235  	0.24120  	0.10547  	0.55047  	-0.3464  	0.03298  	0.24300  	0.41225  	-0.0683  	-1.2712  	0.48112  	-0.2780  	0.63547  	-0.2028  	0.60488  	0.11771  	-0.4597  	-0.4282  	-0.1233  	-0.4426  	-0.0604  	-0.0169  	0.09215  	-0.3523  	-0.1573  	-0.2470  	0.41953  	0.08412  	0.13259  	0.27176  	0.09649  	0.13167  	-0.0263  	0.09134  	0.25456  	-0.2156  	-0.0801  	0.00201  	-0.1350  	0.02847  	0.00359  	0.00162  	-0.0792  	-0.0420  	0.01030  	-0.0206  	0.04259  	-8.3366  	0.01201  	0.00340  	-0.0225  	0.03003  	0.01969  	-0.0100  	-0.0054  	0.04091  	-0.0150  	-0.0650  	0.00781  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.51377  	0.24687  	0.35370  	0.57031  	0.24922  	0.13567  	0.23184  	0.10896  	0.54925  	-0.3437  	0.04972  	0.25060  	0.39467  	-0.0838  	-1.3093  	0.47943  	-0.2691  	0.63105  	-0.1996  	0.60273  	0.12914  	-0.4639  	-0.4276  	-0.1344  	-0.4136  	-0.0668  	-0.0038  	0.08406  	-0.3702  	-0.1530  	-0.2474  	0.42678  	0.07004  	0.12789  	0.27684  	0.09793  	0.14155  	-0.0272  	0.09807  	0.25242  	-0.2321  	-0.0801  	0.00475  	-0.1290  	0.03136  	0.00482  	9.78405  	-0.0754  	-0.0384  	0.00839  	-0.0169  	0.04135  	0.00130  	0.01283  	0.00333  	-0.0185  	0.03036  	0.01777  	-0.0086  	-0.0031  	0.03834  	-0.0130  	-0.0648  	0.00758  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.40004  	0.21239  	0.27615  	0.51722  	0.29800  	0.09800  	0.22506  	0.07553  	0.57498  	-0.2744  	-0.0035  	0.34626  	0.43129  	-0.1546  	-1.5148  	0.56405  	-0.2984  	0.70501  	-0.1863  	0.73250  	-0.0225  	-0.5159  	-0.5368  	-0.2351  	-0.4473  	-0.0247  	-0.1294  	0.27829  	-0.2453  	-0.1558  	-0.2237  	0.38813  	0.12083  	0.14403  	0.16190  	0.16276  	0.02845  	-0.0644  	0.15114  	0.28150  	-0.1401  	-0.0809  	0.03485  	-0.1324  	0.03883  	-0.0046  	0.01258  	-0.0671  	-0.0353  	-0.0044  	-0.0200  	0.03884  	-0.0035  	0.00874  	0.00340  	-0.0287  	0.03284  	0.02114  	-0.0060  	-0.0100  	0.03833  	-0.0196  	-0.0601  	0.01238  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.21573  	0.16333  	0.07694  	0.34670  	0.24283  	-0.1184  	0.21809  	-0.0352  	0.50717  	-0.1409  	-0.0277  	0.20046  	0.47079  	-0.0802  	-1.6059  	0.46658  	-0.3469  	0.74610  	-0.2170  	0.74951  	-0.1720  	-0.5237  	-0.6306  	-0.2254  	-0.3047  	-0.0529  	-0.1410  	0.32061  	-0.1489  	-0.1258  	-0.2371  	0.36282  	0.08101  	0.13919  	0.14836  	0.21249  	-0.0680  	-0.1260  	0.22092  	0.30946  	-0.1124  	-0.0600  	0.03425  	-0.1592  	0.04640  	0.00440  	0.00775  	-0.0634  	-0.0508  	0.01537  	-0.0234  	0.02979  	0.00072  	0.00709  	-0.0016  	-0.0365  	0.03162  	0.02184  	-0.0093  	-0.0102  	0.03583  	-0.0220  	-0.0628  	0.01567  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
0.02455  	0.08402  	-0.0110  	0.48123  	0.37899  	-0.2353  	0.23501  	-0.0306  	0.48151  	-0.1992  	-0.0246  	0.23033  	0.42334  	-0.0870  	-1.4500  	0.33021  	-0.3479  	0.77017  	-0.2022  	0.72094  	-0.0674  	-0.4713  	-0.6220  	-0.1427  	-0.3915  	-0.0357  	-0.1407  	0.26301  	-0.1442  	-0.1371  	-0.2313  	0.32832  	0.06566  	0.15144  	0.20089  	0.16730  	-0.0711  	-0.1215  	0.13988  	0.34054  	-0.2002  	-0.0531  	-0.0108  	-0.1315  	0.05269  	0.00021  	0.00169  	-0.0820  	-0.0412  	0.00149  	-0.0253  	0.03440  	-0.0052  	0.01297  	-0.0090  	-0.0388  	0.02826  	0.01663  	0.00048  	0.00092  	0.03104  	-0.0203  	-0.0804  	0.00736  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
-0.3066  	0.03331  	-0.1670  	0.23056  	0.25663  	-0.3762  	0.17759  	-0.1643  	0.42599  	-0.1479  	0.01255  	0.18100  	0.35798  	-0.3487  	-1.6453  	0.23291  	-0.3289  	0.75610  	-0.1919  	0.70453  	-0.2170  	-0.5002  	-0.5430  	-0.2202  	-0.4325  	-0.0134  	-0.2126  	0.36982  	-0.0607  	-0.1533  	-0.2352  	0.33117  	0.05255  	0.16575  	0.06729  	0.20687  	-0.1767  	-0.1569  	0.20556  	0.37906  	-0.1860  	-0.0482  	-0.0499  	-0.1550  	0.03647  	0.00117  	0.01297  	-0.0853  	-0.0484  	0.00218  	-0.0168  	0.03925  	-0.0070  	0.01753  	-0.0055  	-0.0445  	0.03987  	0.02628  	-0.0002  	0.00491  	0.03627  	-0.0223  	-0.0744  	0.00555  	0.23086  	0.00256  	0.00548  	0.00136  	0.09785  	-0.3633  	0.87810  	128.279  	83.0908  	
